filename,classes,xmin,ymin,xmax,ymax
J01_2018.06.16 10_24_16.jpg,修印,1345,1157,1761,1266
J01_2018.06.22 08_45_25.jpg,剪洞,1205,716,1351,792
J01_2018.06.23 09_09_55.jpg,剪洞,1206,1136,1564,1318
J01_2018.06.23 13_28_32.jpg,剪洞,460,466,518,538
J01_2018.06.26 09_55_27.jpg,剪洞,2200,1000,2262,1062
J01_2018.06.26 14_01_55.jpg,剪洞,113,662,149,701
J01_2018.06.13 13_52_56.jpg,厚段,5,1383,2557,1583
J01_2018.06.16 10_35_51.jpg,厚薄段,61,675,2544,846
J01_2018.06.16 10_51_31.jpg,吊弓,1707,56,1807,1607
J01_2018.06.17 14_37_37.jpg,吊弓,1785,24,1855,1003
J01_2018.06.27 13_29_13.jpg,吊弓,1334,746,1374,1421
J01_2018.06.13 13_25_43.jpg,吊纬,83,1326,2532,1407
J01_2018.06.13 13_31_01.jpg,吊纬,1574,288,2347,392
J01_2018.06.16 09_18_16.jpg,吊纬,25,787,2241,852
J01_2018.06.17 09_09_56.jpg,吊纬,131,681,733,734
J01_2018.06.17 09_44_08.jpg,吊纬,25,710,2035,854
J01_2018.06.17 13_32_02.jpg,吊纬,1021,850,2001,978
J01_2018.06.13 13_44_46.jpg,吊经,988,502,2106,675
J01_2018.06.13 14_05_24.jpg,吊经,1437,815,1530,1430
J01_2018.06.13 14_09_06.jpg,吊经,1685,548,1755,1457
J01_2018.06.16 09_06_55.jpg,吊经,1224,584,1317,1554
J01_2018.06.16 09_24_40.jpg,吊经,775,869,885,1569
J01_2018.06.16 09_42_16.jpg,吊经,1341,10,1424,1910
J01_2018.06.16 09_55_56.jpg,吊经,1305,241,1368,1124
J01_2018.06.16 09_56_35.jpg,吊经,1559,17,1656,1055
J01_2018.06.16 10_41_08.jpg,吊经,773,573,832,1283
J01_2018.06.17 08_58_03.jpg,吊经,1137,476,1240,1382
J01_2018.06.17 09_11_23.jpg,吊经,1255,644,1349,1898
J01_2018.06.17 09_47_15.jpg,吊经,1681,110,1763,1700
J01_2018.06.17 10_13_00.jpg,吊经,1169,62,1257,1644
J01_2018.06.17 13_25_49.jpg,吊经,1551,338,1649,1328
J01_2018.06.17 13_26_51.jpg,吊经,1261,344,1329,1754
J01_2018.06.17 14_27_22.jpg,吊经,1197,520,1323,1214
J01_2018.06.17 14_36_08.jpg,吊经,669,260,763,1160
J01_2018.06.17 14_41_52.jpg,吊经,1215,32,1289,1780
J01_2018.06.19 08_39_12.jpg,吊经,1534,31,1624,1470
J01_2018.06.19 08_43_17.jpg,吊经,1854,14,1923,1913
J01_2018.06.19 08_55_05.jpg,吊经,2012,14,2074,1902
J01_2018.06.19 09_16_36.jpg,吊经,150,250,193,837
J01_2018.06.19 09_38_19.jpg,吊经,81,1328,163,1777
J01_2018.06.19 09_42_13.jpg,吊经,1661,22,1717,1906
J01_2018.06.19 10_00_27.jpg,吊经,679,170,805,1807
J01_2018.06.19 10_06_31.jpg,吊经,1385,642,1509,889
J01_2018.06.19 10_12_59.jpg,吊经,1183,24,1291,1841
J01_2018.06.19 10_13_35.jpg,吊经,1558,11,1623,1903
J01_2018.06.19 10_25_31.jpg,吊经,576,878,1721,933
J01_2018.06.19 10_27_05.jpg,吊经,2365,613,2415,1649
J01_2018.06.19 10_31_01.jpg,吊经,1070,84,1140,1654
J01_2018.06.19 13_29_54.jpg,吊经,1230,596,1307,767
J01_2018.06.19 13_37_56.jpg,吊经,1365,26,1450,1739
J01_2018.06.19 13_45_36.jpg,吊经,1025,69,1115,1444
J01_2018.06.19 14_11_29.jpg,吊经,1420,630,1487,796
J01_2018.06.19 14_33_46.jpg,吊经,1077,213,1143,1085
J01_2018.06.19 14_44_09.jpg,吊经,1390,547,1446,819
J01_2018.06.19 15_13_53.jpg,吊经,1478,876,1526,1453
J01_2018.06.19 15_36_52.jpg,吊经,1107,5,1182,542
J01_2018.06.20 14_14_30.jpg,吊经,213,139,347,1527
J01_2018.06.20 15_00_26.jpg,吊经,2164,29,2284,1919
J01_2018.06.20 15_01_47.jpg,吊经,1342,1,1423,1536
J01_2018.06.20 15_08_14.jpg,吊经,1269,13,1363,1870
J01_2018.06.20 15_20_54.jpg,吊经,2115,11,2201,965
J01_2018.06.20 15_26_41.jpg,吊经,1464,2,1583,1763
J01_2018.06.20 15_34_17.jpg,吊经,1393,10,1537,1905
J01_2018.06.20 15_43_44.jpg,吊经,2098,423,2167,1655
J01_2018.06.22 08_40_55.jpg,吊经,1223,5,1326,720
J01_2018.06.22 08_58_13.jpg,吊经,1871,5,1941,1558
J01_2018.06.22 09_15_52.jpg,吊经,1971,697,2217,841
J01_2018.06.22 09_16_37.jpg,吊经,1699,988,1787,1906
J01_2018.06.22 09_17_23.jpg,吊经,1789,12,1917,1304
J01_2018.06.22 09_41_03.jpg,吊经,1449,13,1529,1449
J01_2018.06.22 10_08_59.jpg,吊经,1141,771,1219,1363
J01_2018.06.22 10_15_26.jpg,吊经,1188,5,1259,975
J01_2018.06.22 10_40_08.jpg,吊经,1232,150,1351,1366
J01_2018.06.22 15_05_46.jpg,吊经,2192,14,2281,1709
J01_2018.06.22 15_29_49.jpg,吊经,2223,362,2331,1140
J01_2018.06.22 15_33_26.jpg,吊经,1319,2,1405,1704
J01_2018.06.22 15_52_58.jpg,吊经,733,818,813,1658
J01_2018.06.22 16_13_34.jpg,吊经,1524,10,1572,1828
J01_2018.06.23 08_37_19.jpg,吊经,1290,620,1438,972
J01_2018.06.23 08_42_51.jpg,吊经,876,87,1131,1012
J01_2018.06.23 08_45_04.jpg,吊经,1710,12,1780,1904
J01_2018.06.23 09_03_13.jpg,吊经,1844,104,1938,1226
J01_2018.06.23 09_24_42.jpg,吊经,1908,11,2028,1909
J01_2018.06.23 09_59_45.jpg,吊经,896,714,1053,909
J01_2018.06.23 10_18_31.jpg,吊经,1436,120,1504,1022
J01_2018.06.23 10_20_10.jpg,吊经,1400,11,1475,1889
J01_2018.06.23 10_28_59.jpg,吊经,1113,730,1176,863
J01_2018.06.23 10_29_22.jpg,吊经,2310,756,2362,1438
J01_2018.06.23 10_38_10.jpg,吊经,471,1299,503,1654
J01_2018.06.23 13_49_35.jpg,吊经,2258,564,2324,1436
J01_2018.06.23 14_07_38.jpg,吊经,1931,347,2000,1881
J01_2018.06.25 09_00_19.jpg,吊经,1676,784,1748,1730
J01_2018.06.25 09_03_56.jpg,吊经,1265,247,1310,1140
J01_2018.06.25 13_58_48.jpg,吊经,543,456,602,1611
J01_2018.06.25 14_04_21.jpg,吊经,928,689,959,1084
J01_2018.06.25 14_14_01.jpg,吊经,1084,702,1230,1206
J01_2018.06.25 14_16_49.jpg,吊经,1352,487,1412,942
J01_2018.06.25 14_21_57.jpg,吊经,1714,314,1833,1362
J01_2018.06.25 14_32_39.jpg,吊经,839,460,916,1898
J01_2018.06.25 15_07_45.jpg,吊经,1552,523,1631,1056
J01_2018.06.25 15_09_09.jpg,吊经,1395,599,1491,1099
J01_2018.06.26 08_48_17.jpg,吊经,1162,386,1222,1902
J01_2018.06.26 08_57_06.jpg,吊经,368,41,426,774
J01_2018.06.26 09_29_47.jpg,吊经,1286,12,1326,1358
J01_2018.06.26 09_35_23.jpg,吊经,862,610,1046,1746
